#X,Y,X_true,Y_true,Phi,V,Zx,Zy,
-9.69575,11.8571,-9.69262,12.2543,4.55554,1.53511,-9.72312,11.9826,
-9.71656,11.7599,-9.71468,12.1567,4.56554,1.53511,-9.74517,11.885,
-9.73638,11.6624,-9.73576,12.059,4.57554,1.53511,-9.76625,11.7873,
-9.75524,11.5648,-9.75586,11.961,4.58554,1.53511,-9.78635,11.6893,
-9.77311,11.4669,-9.77498,11.8629,4.59555,1.53511,-9.80547,11.5912,
-9.79001,11.3689,-9.79312,11.7645,4.60555,1.53511,-9.82361,11.4928,
-9.80592,11.2707,-9.81027,11.666,4.61555,1.53511,-9.84076,11.3943,
-9.82085,11.1724,-9.82644,11.5673,4.62555,1.53511,-9.85693,11.2956,
-9.8348,11.0739,-9.84162,11.4685,4.63555,1.53511,-9.87211,11.1968,
-9.84776,10.9753,-9.85581,11.3695,4.64555,1.53511,-9.8863,11.0978,
-9.85974,10.8766,-9.86901,11.2704,4.65555,1.53511,-9.8995,10.9987,
-9.87073,10.7777,-9.88122,11.1711,4.66556,1.53511,-9.91171,10.8994,
-9.88073,10.6788,-9.89243,11.0717,4.67556,1.53511,-9.92293,10.8,
-9.88974,10.5797,-9.90266,10.9723,4.68556,1.53511,-9.93315,10.7006,
-9.89775,10.4806,-9.91188,10.8727,4.69556,1.53511,-9.94237,10.601,
-9.90478,10.3814,-9.92011,10.773,4.70556,1.53511,-9.9506,10.5013,
-9.91081,10.2821,-9.92734,10.6733,4.71556,1.53511,-9.95784,10.4016,
-9.91586,10.1828,-9.93358,10.5735,4.72556,1.53511,-9.96407,10.3018,
-9.9199,10.0834,-9.93882,10.4736,4.73557,1.53511,-9.96931,10.2019,
-9.92296,9.984,-9.94305,10.3737,4.74557,1.53511,-9.97354,10.102,
-9.92502,9.88456,-9.94629,10.2738,4.75557,1.53511,-9.97678,10.0021,
-9.92608,9.78511,-9.94853,10.1738,4.76557,1.53511,-9.97902,9.90209,
-9.92615,9.68566,-9.94977,10.0738,4.77557,1.53511,-9.98026,9.8021,
-9.92523,9.5862,-9.95001,9.97381,4.78557,1.53511,-9.9805,9.7021,
-9.92331,9.48676,-9.94925,9.87381,4.79557,1.53511,-9.97974,9.6021,
-9.9204,9.38735,-9.94749,9.77382,4.80557,1.53511,-9.97798,9.50212,
-9.91649,9.28797,-9.94472,9.67386,4.81558,1.53511,-9.97522,9.40216,
-9.91159,9.18863,-9.94096,9.57393,4.82558,1.53511,-9.97146,9.30223,
-9.9057,9.08935,-9.93621,9.47405,4.83558,1.53511,-9.9667,9.20234,
-9.89881,8.99013,-9.93045,9.37421,4.84558,1.53511,-9.96094,9.10251,
-9.89093,8.89099,-9.92369,9.27444,4.85558,1.53511,-9.95418,9.00274,
-9.88206,8.79193,-9.91594,9.17474,4.86558,1.53511,-9.94643,8.90304,
-9.87221,8.69296,-9.90719,9.07513,4.87558,1.53511,-9.93768,8.80342,
-9.86136,8.5941,-9.89744,8.9756,4.88558,1.53511,-9.92793,8.7039,
